class_of_erotismo,class_of_tensione,class_of_impegno,class_of_ritmo,class_of_humor,class_of_time,class_of_year,class_of_voto,genere,paese,cluster
good_rating,low_rating,good_rating,good_rating,low_rating,durataMedia,nuovo,good_rating,drammatico,italia,4
good_rating,good_rating,good_rating,nice_rating,nice_rating,durataMedia,nuovo,good_rating,commedia,usa,6
low_rating,low_rating,good_rating,low_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,8
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,4
null,good_rating,nice_rating,low_rating,null,durataMedia,nuovo,nice_rating,drammatico,usa,8
null,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,sentimentale,italia,0
low_rating,null,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,2
null,nice_rating,low_rating,good_rating,null,DurataLunga,nuovo,nice_rating,drammatico,germania,2
low_rating,good_rating,good_rating,nice_rating,good_rating,durataMedia,nuovo,nice_rating,commedia,francia,1
low_rating,good_rating,low_rating,nice_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,2
null,low_rating,low_rating,good_rating,good_rating,durataMedia,piu vecchio,good_rating,commedia,usa,0
null,good_rating,nice_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,7
null,nice_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
low_rating,good_rating,low_rating,good_rating,null,DurataLunga,nuovo,good_rating,drammatico,usa,2
null,low_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,western,italia,0
null,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,fantasy,usa,5
low_rating,null,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,4
null,null,null,good_rating,null,durataMedia,nuovo,good_rating,sentimentale,italia,5
null,null,null,good_rating,null,durataMedia,vecchio,good_rating,avventura,italia,5
null,good_rating,good_rating,low_rating,low_rating,durataMedia,vecchio,nice_rating,drammatico,italia,8
low_rating,good_rating,nice_rating,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,8
null,null,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,low_rating,null,good_rating,null,durataMedia,nuovo,good_rating,sentimentale,italia,5
low_rating,low_rating,low_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,italia,4
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,0
null,null,null,low_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,5
low_rating,low_rating,null,low_rating,null,durataMedia,nuovo,good_rating,drammatico,francia,4
low_rating,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,4
null,low_rating,low_rating,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,null,null,good_rating,nice_rating,durataMedia,nuovo,good_rating,sentimentale,italia,0
null,null,null,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,italia,0
low_rating,good_rating,null,good_rating,low_rating,DurataLunga,nuovo,good_rating,avventura,usa,4
null,nice_rating,good_rating,good_rating,low_rating,durataMedia,piu vecchio,good_rating,spionaggio,gran_bretagna,7
null,null,null,good_rating,good_rating,durataMedia,vecchio,low_rating,commedia,italia,0
low_rating,low_rating,null,good_rating,low_rating,durataMedia,nuovo,low_rating,commedia,italia,4
low_rating,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,4
null,good_rating,low_rating,good_rating,null,durataMedia,vecchio,good_rating,sentimentale,italia,5
good_rating,low_rating,good_rating,nice_rating,nice_rating,DurataLunga,nuovo,good_rating,commedia,italia,3
null,null,good_rating,low_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,8
low_rating,good_rating,low_rating,nice_rating,good_rating,durataMedia,nuovo,good_rating,commedia,usa,1
good_rating,null,null,low_rating,low_rating,durataMedia,vecchio,low_rating,commedia,italia,4
low_rating,good_rating,null,good_rating,null,durataMedia,vecchio,good_rating,melo,gran_bretagna,4
low_rating,null,null,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,usa,0
null,good_rating,good_rating,good_rating,low_rating,durataMedia,piu vecchio,good_rating,sentimentale,usa,8
low_rating,low_rating,low_rating,good_rating,null,DurataLunga,nuovo,good_rating,sentimentale,usa,4
low_rating,low_rating,null,good_rating,low_rating,durataMedia,vecchio,good_rating,mitologico,italia,4
null,low_rating,null,good_rating,null,durataMedia,vecchio,good_rating,drammatico,italia,5
null,null,null,good_rating,low_rating,durataMedia,vecchio,good_rating,commedia,italia,5
null,good_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,1
good_rating,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,4
low_rating,top_rating,low_rating,nice_rating,low_rating,durataMedia,nuovo,good_rating,thriller,olanda,1
null,good_rating,good_rating,good_rating,null,durataMedia,nuovo,good_rating,drammatico,usa,8
low_rating,nice_rating,good_rating,good_rating,good_rating,durataMedia,vecchio,good_rating,commedia,usa,1
low_rating,nice_rating,nice_rating,nice_rating,low_rating,DurataLunga,vecchio,nice_rating,drammatico,usa,7
low_rating,null,null,low_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
null,low_rating,low_rating,good_rating,good_rating,DurataLunga,nuovo,good_rating,commedia,italia,0
null,good_rating,null,good_rating,null,durataMedia,nuovo,good_rating,horror,usa,2
null,low_rating,null,good_rating,good_rating,durataMedia,nuovo,good_rating,commedia,italia,0
null,good_rating,null,nice_rating,nice_rating,durataMedia,nuovo,good_rating,poliziesco,usa,3
null,good_rating,null,good_rating,low_rating,durataMedia,nuovo,good_rating,commedia,usa,2
good_rating,low_rating,low_rating,nice_rating,nice_rating,durataMedia,vecchio,good_rating,commedia,usa,6
null,null,good_rating,low_rating,low_rating,durataMedia,nuovo,good_rating,documentario,usa,8
low_rating,nice_rating,top_rating,good_rating,low_rating,DurataLunga,nuovo,nice_rating,drammatico,urss,8
