filmtv_id,titolo_originale,anno,genere,durata,paese,registi,attori,voto_medio,humor,ritmo,impegno,tensione,erotismo
51745,roman_polanski_a_film_memoir,2012,documentario,90,francia,laurent_bouzereau,roman_polanski,7.4,0,2,4,3,0
51753,ai_to_makoto,2012,drammatico,134,giappone,takashi_miike,satoshi_tsumabuki,7.2,2,3,4,0,2
51763,bes_vakit,2006,drammatico,111,turchia,reha_erdem,ozen_ozkan,7.7,0,1,2,1,0
51768,leopoldo_trieste_un_intruso_nella_fabbrica_dei_sogni,2011,documentario,44,italia,giuseppe_petitto,vittorio_boarini,4.8,0,2,1,0,0
51775,post_tenebras_lux,2012,drammatico,100,messico,carlos_reygadas,adolfo_jimenez,6.9,1,2,4,3,3
51787,amusement,2008,horror,85,usa,john_simpson,keir_o,3.5,1,2,0,2,0
51790,street_kings__motor_city,2011,azione,92,usa,chris_fisher,ray_liotta,3.2,0,2,1,2,0
51812,aqui_y_alla,2012,drammatico,110,usa,antonio_mendez_esparza,teresa_ramirez_aguirre,8.0,1,2,1,0,0
51818,danika,2006,drammatico,79,usa,ariel_vromen,marisa_tomei,4.4,0,2,1,1,0
51833,secret_defense,2008,thriller,100,francia,philippe_haim,gerard_lanvin,5.3,0,2,1,2,0
51858,sightseers,2012,commedia,89,gran_bretagna,ben_wheatley,alice_lowe,6.2,2,2,0,1,1
51884,infancia_clandestina,2012,drammatico,112,argentina,benjamin_avila,natalia_oreiro,6.7,1,1,3,2,0
51897,method,2004,thriller,93,gran_bretagna,duncan_roy,elizabeth_hurley,2.7,0,2,0,1,0
51907,rengaine,2012,drammatico,75,francia,rachid_djaidani,slimane_dazi,5.0,2,2,3,1,1
51910,the_marsh,2006,horror,90,canada,jordan_barker,gabrielle_anwar,2.9,0,2,0,1,0
51933,atelier_fontana__le_sorelle_della_moda,2011,biografico,100,italia,riccardo_milani,alessandra_mastronardi,5.2,0,1,3,2,0
51945,trashed,2012,documentario,100,gran_bretagna,candida_brady,jeremy_irons,6.8,0,2,2,0,0
51948,djeca,2012,drammatico,90,bosnia_herzegovina,aida_begic,marija_pikic,7.3,0,2,4,2,0
51954,eyeborgs,2009,fantasy,102,usa,richard_clabaugh,adrian_paul,3.2,0,2,0,1,0
51957,chroniques_sexuelles_dune_famille_daujourdhui,2012,commedia,77,francia,pascal_arnold,mathias_melloul,6.8,2,3,1,0,4
51967,dead_man_down,2013,azione,110,usa,niels_arden_oplev,colin_farrell,5.3,0,3,0,2,1
51968,serena,2014,drammatico,102,usa,susanne_bier,jennifer_lawrence,5.0,0,2,1,1,1
51989,il_sole_dentro,2011,drammatico,115,italia,paolo_bianchini,fallou_kama,5.7,1,2,4,1,0
51990,the_butterfly_room,2012,drammatico,87,italia,gionata_zarantonello,barbara_steele,6.6,1,2,1,4,0
51992,tutti_i_rumori_del_mare,2011,thriller,95,italia,federico_brugia,sebastiano_filocamo,5.6,0,2,1,1,1
51994,end_of_watch,2012,azione,109,usa,david_ayer,jake_gyllenhaal,5.9,1,2,1,2,0
52006,steve_jobs_the_lost_interview,2011,documentario,70,usa,paul_sen,steve_jobs,6.5,0,1,1,0,0
52022,fallo_per_papa,2011,commedia,100,italia,ciro_ceruti,ciro_ceruti,4.8,1,1,0,0,1
52025,gekitotsu_satsujin_ken,1974,azione,91,giappone,shigehiro_ozawa,sonny_chiba,8.0,0,2,2,2,1
52028,de_lautre_cote_du_periph,2012,commedia,95,francia,david_charhon,omar_sy,4.7,2,2,1,0,0
52029,dark_touch,2013,horror,90,irlanda,marina_de_van,marie_missy_keating,4.4,0,3,1,2,0
52031,hitchcock,2012,biografico,97,usa,sacha_gervasi,anthony_hopkins,6.1,2,2,2,2,2
